termino_normalizado,frecuencia,ejemplo_original
cap,22593,cap
capitan,13151,capitán
patron,6768,patron
p,4457,p.
pat,3208,pat.
cpn,556,cpn.
capt,315,capt
pn,182,pn
cp,90,cp
comandante,79,comandante
capn,70,capn.
epn,41,epn.
capitau,36,Capitau
pt,30,pt
ca,23,ca.
o de m,18,O de M
caps,16,caps
patro,14,patro
de guerra,14,de guerra
cad,12,cad
cop,12,cop
patrou,11,patrou
capiton,11,Capiton
capital,10,capital
cpt,8,cpt.
patn,8,patn
capi,7,capi
c p,7,c p.
eap,7,eap
c,6,C.
capitad,6,capitad
caq,6,caq
capiten,5,capiten
cup,5,cup
capit,4,capit
capitam,4,capitam
ptn,4,ptn.
ap,4,ap.
esp,4,esp
pbot,4,pbot
cap patron,4,cap. patron
ptron,4,ptron
cpa,3,cpa.
teniente de navio,3,Teniente de Navio
paton,3,paton
cab,3,cab
pairon,3,paIron
c pitan,3,c: pitan
oap,3,oap
can,3,can.
capita,3,capita
dn,3,dn
ccp,3,ccp.
car,3,car
pataon,3,pataon
patren,3,patren
patran,3,patran
pot,3,pot
ep,3,ep
epa,2,epa.
comandante teniente,2,comandante teniente
capu,2,capu
pa,2,pa
capitae,2,capitae
bap,2,bap
capitao,2,capitao
cnp,2,cnp.
cptan,2,Cptan
paron,2,paron
guerra,2,guerra
oapitan,2,oapitan
capitana,2,capitana
crp,2,crp.
patr,2,patr.
cap mayor,2,cap. mayor
petron,2,petron
capa,2,capa
m,2,M.
a,2,A.
dap,2,dap
caj,2,caj
sen,2,sen
o,2,O
string,2,string
comandante capitan teniente,1,"Comandante, Capitan Teniente"
p cap,1,p. cap.
cptn,1,cptn.
comandante segundo teniente,1,Comandante segundo Teniente
cun,1,cun
cpn de navio,1,cpn. de navío
capitan de fragata,1,capitan de fragata
capitan teniente,1,capitan teniente
ecpn,1,ecpn.
p i,1,p. I.
patton,1,patton
p b,1,p.B.
cpr,1,cpr.
cap comandante,1,cap. Comandante
comandante capitan de mar y guerra,1,comandante capitán de mar y guerra
patso,1,patso
pilot,1,pilot
tap,1,tap.
capitat,1,capitat
bergantin de guerra,1,bergantín de guerra
inal,1,INAL
jose gallano,1,José Gallano
putron,1,putron
itan,1,itan
patrsn,1,patrsn
mo te,1,mo. te
osp,1,osp.
cupitan,1,cupitan
captian,1,captian
patacho,1,patacho
papt,1,papt
comodoro,1,Comodoro
procel,1,procel
prtron,1,prtron
apitan,1,apitan
capitar,1,capitar
pil,1,pil
cc,1,cc
capitrn,1,capitrn
czp,1,czp
pitan,1,pitan
capitan capital,1,capitán capital
oficial portador de despachos,1,oficial portador de despachos
capintan,1,capintan
transporte de guerra,1,transporte de guerra
capitaque,1,capitaque
capi an,1,capi'an
copttan,1,copttan
cjs,1,cjs
cpitan,1,cpitan
paz,1,paz
cdante,1,Cdante
scap,1,Scap
pcho,1,pcho.
pataou,1,pataou
comandandante,1,comandandante
patrn,1,patrn
pas,1,pas
patrcn,1,patrcn
coman dante,1,coman dante
cpat,1,cpat
pat n,1,pat'n
pats,1,pats.
patla,1,patla
comp,1,comp
hrms,1,hrms
cap pat,1,"cap, pat"
patrod,1,patrod
potron,1,potron
capttan,1,capttan
alpatron,1,alpatron
pateon,1,pateon
pan,1,pan
patorn,1,patorn
guerra nacional,1,guerra nacional
patirpn,1,patirpn
cag,1,cag
oat,1,oat
cat,1,cat
p t,1,p t
pct,1,pct
cep,1,cep
mbtre,1,mbtre.
rap,1,rap.
cah,1,cah
phot,1,phot
ceap,1,ceap
oficial,1,Oficial
capg,1,capg
cpp,1,cpp
sap,1,sap
cao,1,cao
vap,1,vap
asp,1,asp
bp,1,bp
d,1,D
nap,1,nap
caf,1,caf
cape,1,cape
dr,1,dr
mayor,1,mayor
sapitan,1,Sapitan
