termino_normalizado,frecuencia,ejemplo_original
ingles,28247,ingles
nacional,14921,nacional
frances,6933,frances
inglesa,6153,inglesa
oriental,5379,Oriental
aleman,5154,alemán
italiano,4924,italiano
italiana,4155,italiana
espanol,3364,español
noruega,2995,noruega
francesa,2848,Francesa
argentino,2770,Argentino
americana,2547,Americana
espanola,2232,española
holandes,1754,holandés
brasilero,1674,brasilero
americano,1461,americano
alemana,1217,alemana
noruego,680,noruego
holandesa,603,holandesa
belga,586,belga
danes,560,Danes
brasileno,525,brasileño
sueco,500,sueco
sueca,496,sueca
austriaco,489,austriaco
sardo,398,Sardo
sarda,389,sarda
ing,362,ing.
austriaca,343,austriaca
brasilera,339,brasilera
hamburgues,260,hamburgues
paraguayo,260,paraguayo
danesa,258,danesa
nac,248,nac.
portugues,239,portugues
hamburguesa,206,hamburguesa
bremense,204,bremense
oriental nacional,189,oriental nacional
ital,170,ital
franc,166,franc.
prusiano,157,prusiano
prusiana,155,prusiana
rusa,155,rusa
entreriana,140,entreriana
correntina,132,correntina
dinamarques,130,dinamarques
santafecina,126,santafecina
uruguayo,124,uruguayo
hanoveriano,122,hanoveriano
ingles nacional,117,Ingles Nacional
esp,115,esp.
bonaerense,112,bonaerense
argentina,110,argentina
griego,110,griego
nacl,96,nacl
portuguesa,91,portuguesa
hanoveriana,90,hanoveriana
oriental ingles,90,oriental inglés
norteamericano,90,norteamericano
ingleses,81,ingleses
entreriano,73,entreriano
brazilero,72,brazilero
brasileiro,71,brasileiro
ruso,70,ruso
correntino,67,correntino
orient,61,orient
norteamericana,56,norteamericana
dinamarquesa,55,dinamarquesa
santafecino,54,santafecino
oldemburgues,53,oldemburgués
alem,50,alem
norte-americana,45,norte-americana
norte-americano,43,norte-americano
oriental frances,42,oriental francés
noruegas,42,noruegas
estado de buenos aires,38,Estado de Buenos Aires
s m b,35,S. M. B.
uruguay,33,Uruguay
americ,30,americ.
nacional del uruguay,28,nacional del Uruguay
holandez,24,holandez
entrerriana,23,entrerriana
oldemburguesa,23,oldemburguesa
chileno,23,chileno
oriental brasilero,22,oriental brasilero
holand,21,holand.
paraguaya,20,paraguaya
griega,20,griega
nacional de uruguay,19,nacional de Uruguay
fran,18,fran.
bdra,18,Bdra.
ita,18,ita
hamburgo,17,hamburgo
holsteines,17,holsteines
frances nacional,17,francés nacional
