termino_normalizado,frecuencia,ejemplo_original
vapor,57802,vapor
barca,18633,Barca
goleta,15857,goleta
pailebot,9735,Pailebot
bergantin,7830,Bergantin
bergantin goleta,4070,bergantin goleta
balandra,3016,balandra
pbot,2714,pbot.
queche,2309,Queche
bca,2257,Bca.
fragata,2027,fragata
gta,1890,gta.
vap,1778,vap.
lugre,1373,Lugre
polacra,1275,polacra
lanchon,1214,Lanchon
vapor de guerra,1002,Vapor de guerra
zumaca,859,zumaca
ballenera,834,Ballenera
berg,803,berg.
bdra,653,bdra
vapor paquete,595,Vapor Paquete
patacho,472,Patacho
cuter,420,Cúter
chalana,364,Chalana
berg gta,358,berg gta
trasporte,204,trasporte
crucero,173,crucero
bea,168,bea
bote,166,Bote
gol,159,gol.
paylebot,155,Paylebot
bergantin-goleta,117,Bergantin-Goleta
lancha,102,Lancha
bombarda,88,bombarda
falucho,88,Falucho
chata,81,chata
bergantin gta,72,bergantin gta.
phot,72,phot
bergantin de guerra,70,bergantín de guerra
pbt,66,pbt
vp,66,vp.
barco,64,Barco
paquete,58,Paquete
garandumba,57,Garandumba
corbeta de guerra,57,Corbeta de guerra
pailebote,54,pailebote
bergantin goleta de guerra,52,Bergantin Goleta de guerra
goleta paquete,52,goleta paquete
vapor transporte,50,vapor transporte
pcho,47,pcho.
bergantin goleta paquete,45,Bergantin Goleta Paquete
canonera,45,cañonera
transporte,43,transporte
barca polacra,39,barca polacra
buque,38,buque
barcas,37,barcas
boa,37,boa.
brik,35,brik
qche,33,qche
acorazado,33,acorazado
bc,32,bc.
remolcador,32,remolcador
peilebot,29,peilebot
corbeta,27,Corbeta
fragata de guerra,27,fragata de guerra
pail,26,paíl
glta,26,glta
galeta,24,galeta
canonero,24,cañonero
lchon,21,lchon
pailabot,20,pailabot
barc,20,barc.
pailebet,18,pailebet
cutter,18,cutter
vap paq,18,vap. paq.
pat,17,pat
goleta de guerra,16,goleta de guerra
berg goleta,16,berg goleta
fragata a vapor de guerra,16,fragata á vapor de guerra
bailebot,15,bailebot
barea,15,barea
pbol,15,pbol
pailobot,14,pailobot
brg,14,brg
pailebo,13,pailebo
quecho,13,quecho
pallebot,12,Pallebot
polaca,12,polaca
victoria gta,12,victoria gta.
vapores,12,VAPORES
crucero torpedero,12,crucero torpedero
lauchon,11,Lauchon
geleta,11,geleta
pailebt,11,pailebt
golota,11,golota
gra,11,gra
corveta de guerra,10,corveta de guerra
bara,10,bara
berg gol,10,berg. gol.
joven,10,jóven
chata a vapor,10,chata á vapor
bc it,10,bc it
lugre de guerra,9,Lugre de guerra
lugre paquete,9,lugre paquete
barca de guerra,9,barca de guerra
bergantia,9,Bergantia
ballenero,9,ballenero
palacra,9,palacra
ponton,9,ponton
brick,9,brick
polacra sarda,8,polacra sarda
golsta,8,golsta
poilebot,8,poilebot
zumacra,8,zumacra
vapor paq,8,vapor paq.
va,8,va
pabot,8,pabot
draga,8,draga
pailebat,7,Pailebat
borgantin,7,borgantin
yate,7,Yate
ball,7,ball.
vaper,7,vaper
gol ta,7,gol ta
plot,7,plot
pailb,7,pailb.
plbt,7,plbt
bgtin,7,bgtin
be,7,be
galeota,6,Galeota
pailelot,6,Pailelot
bergantin gol,6,bergantin gol.
sumaca,6,sumaca
carca,6,carca
pailehot,6,pailehot
vap paquete,6,vap paquete
bea inglesa,6,bea inglesa
pbo,6,pbo
monitor acorazado,6,monitor acorazado
monitor,6,monitor
bergautin,5,Bergautin
paileb,5,Paileb.
balenera,5,Balenera
barra,5,barra
halandra,5,halandra
pailbot,5,pailbot
lebot,5,lebot
zum,5,zum.
bolandra,5,bolandra
baaca,5,baaca
paibot,5,paibot
pail bot,5,pail bot
pribolet,5,pribolet
ballonera,5,ballonera
borca,5,Borca
barca goleta,5,barca goleta
pailevot,5,pailevot
bot,5,bot
patache,5,patache
btin,5,btin.
bar,5,bar.
bac,5,bac
bra,5,bra
beca,5,beca
fgta,5,fgta
ptcho,5,ptcho
bca americana,5,bca americana
pabt,5,pabt
bal,5,bal.
pbut,5,pbut
bergn,5,bergn.
cruceros,5,cruceros
destroyer,5,destroyer
baindra,4,Baindra
pailebut,4,pailebut
bergantin-goleta de guerra,4,Bergantin-Goleta de guerra
n,4,n.
guadano,4,guadaño
golete,4,golete
zumaco,4,zumaco
lancho,4,lancho
nacional,4,nacional
bergantin transporte,4,bergantin transporte
lanehon,4,lanehon
pai ebot,4,pai'ebot
barba,4,barba
gailebot,4,gailebot
gla,4,gla.
zamaca,4,zamaca
gia,4,gia.
barca a vapor,4,barca á vapor
pailbt,4,pailbt
hca,4,hca.
bergantino,4,bergantino
vapor paqte,4,vapor paqte
pbto,4,pbto
lug,4,lug
bandera,4,bandera
encorazado,4,encorazado
barg,4,barg.
borg,4,borg.
polarca,4,Polarca
ingles,4,inglés
ariete torpedero,4,ariete torpedero
crucero-torpedero,4,Crucero-torpedero
ariete-torpedero,4,ariete-torpedero
torpedero,4,torpedero
lonchon,3,Lonchon
zunaca,3,zunaca
balandran,3,Balandran
failebot,3,failebot
rayo argentino,3,Rayo Argentino
chalupa,3,chalupa
quilebot,3,quilebot
polacra goleta,3,polacra goleta
ballera,3,ballera
balanda,3,balanda
mistico,3,místico
quecha,3,quecha
paitebot,3,paitebot
palebot,3,palebot
pailebor,3,pailebor
puilebot,3,puilebot
balaundra,3,balaúndra
baroa,3,baroa
balandro,3,balandro
brgn,3,brgn.
queque,3,queque
bergatin,3,bergatin
barda,3,barda
pailecot,3,pailecot
pailebont,3,pailebont
pailebol,3,pailebol
pailebot goleta,3,pailebot goleta
pailedot,3,pailedot
balandia,3,balandia
patlebot,3,patlebot
pailebon,3,pailebon
bo,3,Bo
paquebot,3,paquebot
goteta,3,goteta
baca,3,baca
polaora,3,polaora
goi,3,goi
vepor,3,vepor
lucre,3,lucre
beagantin,3,beagantin
frag,3,frag.
barca fragata,3,barca fragata
basca,3,basca
bergantin zueco,3,bergantin zueco
paib,3,paib.
b ca,3,b'ca
bergantina,3,bergantina
fragata a vapor,3,fragata a vapor
paile bot,3,paile bot
bea francesa,3,bea francesa
lanchas,3,lanchas
ichon,3,Ichon
parca,3,parca
paquebote,3,paquebote
vapor-goleta,3,vapor-goleta
yap,3,yap.
baldra,3,baldra
bca italiana,3,bca italiana
bg,3,bg
pbet,3,pbet
pbote,3,pbote
zca,3,zca
lcha,3,lcha
polacra gta,3,polacra gta
pcra,3,pcra
borg gta,3,borg gta
qcho,3,qcho
ptacho,3,ptacho
vad,3,vad
baland,3,baland
ben,3,ben
paylabot,3,paylabot
lugro,3,lugro
v,3,V.
canonera encorazado,3,cañonera encorazado
brk,3,brk
bco,3,bco
bq,3,bq
fragata-escuela,3,fragata-escuela
id,3,íd
balaudra,2,Balaudra
bergantiu,2,Bergantiu
chalan,2,Chalan
bulandra,2,Bulandra
lanchou,2,Lanchou
quache,2,Quache
canoa,2,canoa
ballenora,2,Ballenora
ballena,2,Ballena
bargantin goleta,2,bargantin goleta
zumaca de guerra,2,zumaca de guerra
baladra,2,baladra
pilebot,2,pilebot
guadana,2,guadaña
polabra,2,polabra
francesa,2,francesa
carba,2,carba
gueche,2,gueche
ballanera,2,ballanera
gata,2,Gata
patacgo,2,patacgo
ba andra,2,ba andra
guleta,2,guleta
ca,2,ca
zumadera,2,Zumadera
gsleta,2,gsleta
panebot,2,pañebot
baren,2,baren
sugre,2,sugre
bernantin,2,bernantin
