termino_normalizado,frecuencia,ejemplo_original
montevideo,15017,Montevideo
rosario,8336,Rosario
liverpool,5586,Liverpool
genova,4961,Génova
uruguay,4369,Uruguay
la rada,4223,la rada
santa fe,3289,Santa Fé
cardiff,3167,Cardiff
hamburgo,2898,Hamburgo
burdeos,2756,Burdeos
victoria,2436,Victoria
san nicolas,2334,San Nicolas
barcelona,2212,Barcelona
islas,2177,Islas
londres,2147,Londres
corrientes,2081,Corrientes
marsella,1938,Marsella
cadiz,1789,Cadiz
monte,1764,Monte
amberes,1735,Amberes
glasgow,1725,Glasgow
paranagua,1696,Paranaguá
nueva york,1663,Nueva York
rio janeiro,1608,Rio Janeiro
parana,1564,Paraná
gualeguaychu,1545,Gualeguaychú
asuncion,1497,Asuncion
havre,1404,Havre
carmelo,1388,Carmelo
santa-fe,1350,Santa-Fé
gualeguay,1341,Gualeguay
baradero,1285,Baradero
southampton,1128,Southampton
bremen,1125,Bremen
newport,1066,Newport
san pedro,1063,San Pedro
paraguay,1047,Paraguay
san fernando,1046,San Fernando
salto,955,Salto
rada,942,rada
concordia,926,Concordia
zarate,899,Zárate
pernambuco,894,Pernambuco
colonia,835,Colonia
la plata,814,La Plata
martin garcia,707,Martin Garcia
la paz,694,La Paz
portland,668,Portland
bella vista,581,Bella Vista
campana,571,Campana
goya,570,Goya
boston,537,Boston
bahia blanca,524,Bahía Blanca
montreal,496,Montreal
amsterdam,488,Amsterdam
rio de janeiro,485,Rio de Janeiro
san salvador,482,San Salvador
rotterdam,479,Rotterdam
mercedes,460,Mercedes
patagones,445,Patagones
dolores,444,Dolores
tarragona,440,Tarragona
pensacola,427,Pensacola
new-york,421,New-York
porto alegre,412,Porto Alegre
tuyu,405,Tuyú
nueva palmira,388,Nueva Palmira
ajo,385,Ajo
paysandu,351,Paysandú
parnagua,333,Parnaguá
nueva-york,328,Nueva-York
dunkerque,314,Dunkerque
hull,313,Hull
rio grande,291,Rio Grande
new york,285,New York
new castle,282,New Castle
magdalena,280,Magdalena
habana,274,Habana
valencia,272,Valencia
florianopolis,271,Florianópolis
valparaiso,259,Valparaiso
swansea,253,Swansea
empedrado,251,Empedrado
santa catalina,250,Santa Catalina
new-castle,245,New-Castle
santos,237,Santos
salado,212,Salado
baltimore,210,Baltimore
esquina,208,Esquina
bahia,204,Bahia
puertos del uruguay,203,Puertos del Uruguay
cette,202,Cette
buceo,201,Buceo
concepcion del uruguay,190,Concepcion del Uruguay
antonina,174,Antonina
ensenada,173,Ensenada
villa constitucion,172,Villa Constitucion
savannah,169,Savannah
la victoria,163,la Victoria
quebec,159,Quebec
san lorenzo,157,San Lorenzo
puertos del sur,155,puertos del Sur
napoles,154,Napoles
trieste,153,Trieste
matanzas,143,Matanzas
estado oriental,142,Estado Oriental
lisboa,139,Lisboa
leith,139,Leith
san geronimo,135,San Gerónimo
brunswick,132,Brunswick
bayona,125,Bayona
paisandu,119,Paisandú
islas del uruguay,118,Islas del Uruguay
maldonado,117,Maldonado
fray bentos,117,Fray Bentos
villa colon,117,Villa Colon
corumba,116,Corumbá
malaga,115,Malaga
sunderland,112,Sunderland
islas de san fernando,99,Islas de San Fernando
tigre,96,Tigre
diamante,89,Diamante
new port,86,New Port
independencia,86,Independencia
soriano,85,Soriano
cabo verde,84,Cabo Verde
punta arenas,82,Punta Arenas
vigo,80,Vigo
riachuelo,79,Riachuelo
pascagoula,79,Pascagoula
villa del salto,77,Villa del Salto
salto oriental,76,Salto Oriental
coruna,75,Coruña
new-port,73,New-Port
newcastle,72,Newcastle
paz,70,Paz
puerto alegre,69,Puerto Alegre
arroyo de la china,68,Arroyo de la China
interior del rio,68,Interior del Rio
sta fe,67,Sta. Fé
rio de la plata,67,Rio de la Plata
fernandina,66,Fernandina
greenock,66,Greenock
mobile,64,Mobile
ramallo,63,Ramallo
south georgia,60,South Georgia
higueritas,59,Higueritas
la concordia,58,la Concordia
filadelfia,57,Filadelfia
calais,53,Calais
rio,52,Rio
san francisco,52,San Francisco
calcuta,50,Calcuta
colon,50,Colon
comodoro rivadavia,50,Comodoro Rivadavia
le havre,48,Le Havre
europa,48,Europa
colastine,48,Colastiné
bilbao,46,Bilbao
gothenburg,46,Gothenburg
inglaterra,45,Inglaterra
christiania,45,Christiania
el havre,44,El Havre
laguna de los padres,44,Laguna de los Padres
itapiru,44,Itapirú
san juan,43,San Juan
altona,43,Altona
quequen,42,Quequen
isla de sal,41,Isla de Sal
palmira,41,Palmira
bella-vista,39,Bella-Vista
curumba,39,Curumbá
rosario oriental,38,Rosario oriental
capetown,38,Capetown
san antonio,37,San Antonio
salem,36,Salem
memel,36,Memel
conchillas,36,Conchillas
middlesbrough,36,Middlesbrough
bangor,35,Bangor
gualeguaichu,35,Gualeguaichú
banda oriental,35,Banda Oriental
islas queche,35,Islas queche
manchester,34,Manchester
torrevieja,34,Torrevieja
la rada en el riachuelo,34,la rada en el Riachuelo
gulfport,32,Gulfport
canada,31,Canadá
middlesborough,31,Middlesborough
cuyaba,30,Cuyaba
la colonia,28,la Colonia
costa oriental,28,Costa Oriental
apalachicola,28,Apalachicola
gibraltar,27,Gibraltar
brasil,27,Brasil
chaco argentino,27,Chaco Argentino
piramides,27,Pirámides
setubal,26,Setubal
la habana,26,la Habana
las higueritas,26,Las Higueritas
villa del pilar,26,Villa del Pilar
v constitucion,26,V. Constitucion
las palmas,25,Las Palmas
helvecia,25,Helvecia
entre rios,24,Entre Rios
ibicuy,24,Ibicuy
ultramar,24,Ultramar
chubut,24,Chubut
barry,24,Barry
sauce,23,Sauce
wilmington,23,Wilmington
troon,23,Troon
fray ventos,23,Fray Ventos
dundee,23,Dundee
st john,23,St. John
villa occidental,23,Villa Occidental
san borombon,22,San Borombon
para,22,Para
rangoon,22,Rangoon
sarate,21,Sarate
entre-rios,21,Entre-Rios
st marys,21,St. Marys
bridgewater,21,Bridgewater
nancay,20,Nancay
savona,20,Savona
rio uruguay,20,rio Uruguay
conchilla,20,Conchilla
rio janeyro,19,Rio Janeyro
rio negro,19,Rio Negro
concepcion,19,Concepcion
grangemouth,19,Grangemouth
rivadavia,19,Rivadavia
los puertos del sur,19,los puertos del Sur
rio gallegos,19,Rio Gallegos
paragua,18,Paraguá
